Name,Debut date,Youtube channel id,Youtube subscription button
Tokino Sora,7-Sep-17,UCp6993wxpyDPHUpavwDFqgg,"<script src=""https://apis.google.com/js/platform.js""></script>

<div class=""g-ytsubscribe"" data-channelid=""UCp6993wxpyDPHUpavwDFqgg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Roboco,4-Mar-18,UCDqI2jOz0weumE8s7paEk6g,"<script src=""https://apis.google.com/js/platform.js""></script>
<div class=""g-ytsubscribe"" data-channelid=""UCDqI2jOz0weumE8s7paEk6g"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Sakura Miko,25-Dec-18,UC-hM6YJuNYVAmUWxeIr9FeA,"<script src=""https://apis.google.com/js/platform.js""></script>
<div class=""g-ytsubscribe"" data-channelid=""UC-hM6YJuNYVAmUWxeIr9FeA"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Hoshimachi Suisei,1-Dec-19,UC5CwaMl1eIgY8h02uZw7u8A,"<script src=""https://apis.google.com/js/platform.js""></script>
<div class=""g-ytsubscribe"" data-channelid=""UC5CwaMl1eIgY8h02uZw7u8A"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Yozora Mel,13-May-18,UCD8HOxPs4Xvsm8H0ZxXGiBw,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCD8HOxPs4Xvsm8H0ZxXGiBw"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Shirakami Fubuki,1-Jun-18,UCdn5BQ06XqgXoAxIhbqw5Rg,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCdn5BQ06XqgXoAxIhbqw5Rg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Natsuiro Matsuri,1-Jun-18,UCQ0UDLQCjY0rmuxCDE38FGg,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCQ0UDLQCjY0rmuxCDE38FGg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Aki Rosenthal,1-Jun-18,UCFTLzh12_nrtzqBPsTCqenA,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCFTLzh12_nrtzqBPsTCqenA"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Akai Haato,2-Jun-18,UC1CfXB_kRs3C-zaeTG3oGyg,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UC1CfXB_kRs3C-zaeTG3oGyg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Minato Aqua,8-Aug-18,UC1opHUrw8rvnsadT-iGp7Cg,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UC1opHUrw8rvnsadT-iGp7Cg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Murasaki Shion,17-Aug-18,UCXTpFs_3PqI41qX2d9tL2Rw,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UCXTpFs_3PqI41qX2d9tL2Rw"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
Nakiri Ayame,3-Sep-18,UC7fk0CB07ly8oSl0aqKkqFg,"<script src=""https://apis.google.com/js/platform.js""></script>
            <div class=""g-ytsubscribe"" data-channelid=""UC7fk0CB07ly8oSl0aqKkqFg"" data-layout=""full"" data-theme=""dark"" data-count=""default""></div>"
